Title,Ingredints,Instructions
Grammie Hamblet's Deviled Crab,"celery : 64.0 g
pepper finely : 1 num
green onions : 64.0 g
parsley : 32.0 g
crabmeat : 453.592 g
crushed cracker crumbs : 32.0 g
salt : 2.845 g
dry mustard : 4.268 g
hot sauce : 1 num
heavy cream : 32.0 g
melted butter : 64.0 g","Toss ingredients lightly and spoon into a buttered baking dish. Top with additional crushed cracker crumbs, and brush with melted butter. Bake in a preheated at 350 degrees oven for 25 to 30 minutes or until delicately browned."
Southwestern Black Bean Dip,"dried black beans : 64.0 g
water : 1024.0 g
cloves garlic : 2 num
vegetable oil : 51.21 g
green bell pepper : 5.69 g
red onion : 5.69 g
ground cumin : 11.38 g
cider vinegar : 34.14 g
pepper : 1 num
plum tomato : 1 num
red chile : 1 num
cilantro leaves : 1 num
sour cream : 1 num
Suggestion: Tortilla chips : 1 num","In a large saucepan, let the beans soak in enough cold water to cover for 1 hour and drain. Return the beans to the pan with the 8 cups of water and garlic. Bring the water to a boil, lower the heat, and simmer until tender, about 1 hour.
Meanwhile, heat the oil in a large heavy skillet over moderate heat. Add the pepper, onion, and cumin and cook, stirring, until softened.
Drain the beans and reserve 1/2 cup of them. Add the remaining beans to the pepper mixture with the remaining 1/4 cup water, and simmer, covered, until very tender, about 15 minutes.
In a food processor, blend bean mixture with the vinegar and pulse until well combined but not pureed smooth. Season the dip with salt, pepper, and vinegar. Transfer to a serving bowl, and stir in the reserved 1/2 cup beans. Let the dip cool to room temperature or chill.
When to serve, garnish the dip with the reserved bell pepper, onion, tomato, chile, cilantro leaves, and sour cream. Serve with the tortilla chips."
Sushi Renovation,"rice : 128.0 g
quinoa : 1 num
sweet red peppers : 1 num
oz. white tuna : 4 num
seaweed kelp : 2 num
shiitake mushrooms : 1 num
carrots, raw : 1 num
cucumber peel : 1 num
oriental radish : 1 num
sesame seed kernels : 1 num","Special equipment: sushi mat
Cook the brown rice and quinoa in 3 cups of water (35-40 min.). Bring to a boil for 2 minutes and then reduce heat. Do not stir. Once cooked, remove the lid and drape a tea towel over grain for 10 minutes to cool. Transfer the grain to a ceramic or wood bowl, using a wood paddle to fluff the grain. Mix together the sushi vinegar by combining 2 tablespoons of rice vinegar and 1 tablespoon of honey. Add sushi vinegar slowly to prevent sticking.
Place a sheet of nori on a sushi mat. Cover the entire sheet with grain, leaving an inch on the bottom and top. Add fillings across the center of the roll. Make sure they're evenly distributed and do not over stuff. Tap a wet finger across the top flap of the nori sheet to ensure a good seal and roll the mat with a firm squeeze. Slice in 1/2-inch slices with an extra sharp knife. Enjoy with wasabi, ginger and a dab of tamari."
Middle-Eastern Eggplant Rounds,"olive oil : 17.07 g
baby Italian eggplants : 2 num
salt : 1 num
other prepared hummus : 64.0 g
grape tomatoes : 4 num
flat-leaf parsley leaves : 34.14 g
grated lemon zest : 5.69 g","Heat a large nonstick skillet over medium-high heat and add the oil. Add the eggplant rounds and season with 1/4 teaspoon salt. Cover and cook until brown on the bottoms, about 4 minutes. Reduce the heat to medium-low and, working quickly, flip each eggplant round and top with a dollop of hummus and a cherry tomato quarter, rounded-side down. Cover and cook until heated through and the bottoms are golden brown, about 7 minutes.
Transfer to a platter using a spatula. Sprinkle with the parsley and lemon zest and serve."
Saffron Jewel Rice,"crumbled saffron threads : 2.845 g
sugar : 42.667 g
salt : 1 num
strips orange zest : 2 num
carrot, shredded : 1 num
unsalted butter : 68.28 g
onion : 1 num
cinnamon : 1 num
green cardamom pods : 3 num
ground allspice : 1 num
ground cumin : 1 num
basmati rice : 256.0 g
pistachios : 42.667 g
blanched almonds : 42.667 g
dried cranberries : 42.667 g
dried apricots : 32.0 g
fresh parsley : 34.14 g","Sprinkle the saffron into 1/4 cup hot water; let sit 15 minutes. Meanwhile, combine 2 cups water, the sugar and a pinch of salt in a small saucepan and bring to a boil. Add the orange zest and carrot, reduce the heat to medium low and simmer until tender, about 4 minutes. Drain and transfer to a bowl; set aside.
Heat 2 tablespoons butter in a large pot over medium heat. Add the onion, cinnamon stick, cardamom, allspice, cumin and a pinch of salt and cook, stirring occasionally, until the onion is translucent, about 8 minutes. Add the rice and 3/4 teaspoon salt and stir to coat. Add 3 cups water, increase the heat to medium high and simmer until the water has mostly evaporated, about 4 minutes. Cover the pot with foil and the lid, reduce the heat to low and cook until the water is completely absorbed, about 12 minutes. Remove from the heat and let stand 5 minutes.
Meanwhile, melt 1 tablespoon butter in a medium skillet over medium-high heat. Add the pistachios and almonds and cook until just lightly golden, about 1 minute. Remove from the heat and add the dried cranberries and apricots, and 1 tablespoon of the prepared saffron water; stir to combine, then transfer to a bowl and set aside for topping.
Uncover the rice and fluff with a fork; discard the cinnamon stick and cardamom pods. Transfer about half of the rice to a serving bowl. Add the remaining saffron water, 1 tablespoon butter and the reserved orange peel and carrot to the rice in the pot and stir gently. Add the yellow rice to the white rice and gently toss; sprinkle with the pistachio mixture and parsley.
Photograph by Con Poulos"
Maine Lobster Rolls,"top--sliced hot-dog buns : 4 num
unsalted butter : 34.14 g
lobsters : 256.0 g
minced celery : 68.28 g","If using top-sliced buns, spread softened butter on outsides; if using hamburger buns, butter insides. Heat a griddle or heavy skillet over moderately high heat until hot and toast buns, buttered sides only, until light brown. Divide lobster meat among buns and either drizzle melted butter over lobster or dollop with mayonnaise mixture.;"
Cauliflower with Brown Butter and Crispy Crumbs,"head cauliflower : 1 num
cloves garlic : 2 num
unsalted butter : 102.42 g
kosher salt : 1.423 g
crumbs (see Know-How : 42.667 g
fresh flat-leaf parsley : 51.21 g
ground black pepper : 1 num
wedges : 1 num","Preheat the oven to 450 degrees F. Put the cauliflower on a baking sheet and scatter the garlic on top. Melt the butter in a medium skillet and toss 2 tablespoons with the cauliflower and garlic; set the rest aside in the skillet. Toss the cauliflower with 1 teaspoon of the salt. Roast until the cauliflower is quite tender and the edges are starting to brown, 20 to 25 minutes. Transfer the cauliflower to a serving bowl.
Reheat the remaining butter over medium-high heat until brown. Add the bread crumbs and cook, swirling the pan and tossing, until they are brown and crisp-this should take less than 1 minute. Pull the pan from the heat and toss the crumbs with the parsley and the remaining 14 teaspoon salt. Spoon crumbs over the cauliflower and season with pepper. Serve warm or room temperature with lemon wedges on the side."
Roasted Vegetable Soup,"chicken stock : 384.0 g
Roasted Winter Vegetables : 1 num
ground black pepper : 1 num
(5-pound) roasting chickens : 3 num
yellow onions : 3 num
carrots, unpeeled, halved : 6 num
stalks leaves : 4 num
parsnips : 4 num
sprigs fresh parsley : 20 num
sprigs fresh thyme : 15 num
sprigs fresh dill : 20 num
head garlic : 1 num
kosher salt : 34.14 g
black peppercorns : 11.38 g
carrots, peeled : 453.592 g
parsnips, peeled : 453.592 g
sweet potato : 1 num
butternut squash : 1 num
olive oil : 51.21 g
fresh flat-leaf parsley : 2.845 g","In a large saucepan, heat 3 cups of chicken stock. In 2 batches, coarsely puree the roasted vegetables and the chicken stock in the bowl of a food processor fitted with the steel blade. Pour the soup back into the pot and season, to taste. Thin with more chicken stock and reheat. The soup should be thick but not like a vegetable puree, so add more chicken stock and/or water until it's the consistency you like.
Place the chickens, onions, carrots, celery, parsnips, parsley, thyme, dill, garlic, and seasonings in a 16 to 20-quart stockpot. Add 7 quarts of water and bring to a boil. Simmer uncovered for 4 hours. Strain the entire contents of the pot through a colander and discard the solids. Chill the stock overnight. The next day, remove the surface fat. Use immediately or pack in containers and freeze for up to 3 months.
Preheat the oven to 425 degrees F.
Cut the carrots, parsnips, sweet potato, and butternut squash in 1- to 1 1/4-inch cubes. All the vegetables will shrink while baking, so don't cut them too small.
Place all the cut vegetables in a single layer on 2 sheet pans. Drizzle them with olive oil, salt, and pepper. Toss well. Bake for 25 to 35 minutes, until all the vegetables are tender, turning once with a metal spatula.
Sprinkle with parsley, season to taste, and serve hot."
Thai Sweet and Sour Wings,"chili sauce : 256.0 g
rice vinegar : 128.0 g
fish sauce : 34.14 g
grated fresh ginger : 17.07 g
garlic powder : 17.07 g
cloves garlic : 2 num
black pepper : 1 num
gallon shortening oil : 1 num
chicken wings : 18 num","Special equipment: a deep fryer with lid or a Dutch oven
Mix the sweet chili sauce, rice vinegar, fish sauce, ginger, garlic powder, garlic and pepper in a mixing bowl with a whisk until the ingredients are incorporated; set aside.
Fill a fryer or large Dutch oven with oil according to the manufacturer's instructions; heat the oil to 350 degrees F. Working in 2 batches, carefully drop the chicken wings into the fryer, and cover it with a lid. Fry the wings until they are golden brown, 12 to 15 minutes. Transfer the chicken to a clean bowl. Drizzle the Thai sweet-and-sour sauce over the wings."
Balsamic-Marinated Steak and Unstuffed Mushrooms,"London broil : 1 num
olive oil : 32.0 g
Worcestershire sauce : 32.0 g
balsamic vinegar : 34.14 g
cloves garlic, smashed : 4 num
leaves : 11.38 g
ground black pepper : 1 num
strip bacon : 1 num
cremini mushrooms : 453.592 g
panko breadcrumbs : 64.0 g
unsalted butter : 34.14 g
sour cream : 64.0 g
drained horseradish : 34.14 g
fresh parsley : 17.07 g","1. Pierce the meat all over with a fork and place in a large resealable plastic bag. Add 2 tablespoons of the olive oil, the Worcestershire, vinegar, garlic and whole rosemary. Seal the bag, pushing out all the air. Shake the bag a few times and refrigerate 8 hours or overnight.
2. Preheat the broiler and line a rimmed baking sheet with aluminum foil. Remove the meat from the marinade and pat dry. Sprinkle both sides with 1 1/2 teaspoons salt and 1/2 teaspoon pepper. Broil, flipping once, until the internal temperature reaches 125 degrees F, about 13 minutes. Transfer to a cutting board, tent with foil and let rest at least 15 minutes.
3. Meanwhile, heat the remaining 2 tablespoons oil in a large skillet over medium-high heat. Cook the bacon, stirring, until crispy, about 5 minutes. Add the mushrooms and cook until golden brown and tender, about 10 minutes. Add the breadcrumbs, butter, chopped rosemary and 1/4 teaspoon each salt and pepper. Cook, stirring, until the breadcrumbs are golden brown, another 3 minutes. Set aside.
4. Stir together the sour cream and horseradish and season with salt and pepper. Slice the steak against the grain, top with the mushrooms and garnish with the chopped parsley. Serve with the horseradish sauce on the side."
